time,pitch,roll,co2
2022/12/22 19:11:06,85.045,0,0
2022/12/22 19:11:07,83.31301,0.36,0
2022/12/22 19:11:08,83.943,1.617,0
2022/12/22 19:11:09,83.679,1.836,0
2022/12/22 19:11:11,84.23301,1.154,0
2022/12/22 19:11:12,82.36,1.289,0
2022/12/22 19:11:13,82.69,1.395,0
2022/12/22 19:11:14,84.23301,0.523,0
2022/12/22 19:11:16,82.644,1.248,0
2022/12/22 19:11:17,83.878,0.673,0
2022/12/22 19:11:18,84.52201,0.103,0
2022/12/22 19:11:19,83.187,0.421,0
2022/12/22 19:11:20,83.079,0.212,0
2022/12/22 19:11:22,81.756,0.052,0
2022/12/22 19:11:23,84.369,0.885,0
2022/12/22 19:11:24,83.83101,0.675,0
2022/12/22 19:11:25,83.31,0.7940001,0
2022/12/22 19:11:26,83.73,0.95,0
2022/12/22 19:11:28,84.066,0.796,0
2022/12/22 19:11:29,84.454,0.991,0
2022/12/22 19:11:30,84.032,0.314,0
2022/12/22 19:11:31,83.337,-0.21,0
2022/12/22 19:11:33,84.21,0.892,0
2022/12/22 19:11:34,82.994,0.727,0
2022/12/22 19:11:35,83.18,0,0
2022/12/22 19:11:36,82.761,0.315,0
2022/12/22 19:11:37,84.00599,1.049,0
2022/12/22 19:11:38,84.197,0.566,0
2022/12/22 19:11:40,83.741,0.474,0
2022/12/22 19:11:41,83.31,0.776,0
2022/12/22 19:11:42,83.405,0.686,0
2022/12/22 19:11:43,82.896,0.624,0
2022/12/22 19:11:44,83.66,0.93,0
2022/12/22 19:11:46,83.435,1.412,0
2022/12/22 19:11:47,83.955,1.251,0
2022/12/22 19:11:48,83.503,0.985,0
2022/12/22 19:11:49,83.73,0.42,0
2022/12/22 19:11:50,83.20701,1.297,0
2022/12/22 19:11:52,83.103,0.838,0
2022/12/22 19:11:53,83.022,1.306,0
2022/12/22 19:11:54,83.227,1.371,0
2022/12/22 19:11:55,83.83,0.365,0
2022/12/22 19:11:56,84.939,0.312,0
2022/12/22 19:11:58,83.089,0.159,0
2022/12/22 19:11:59,84.67601,0.779,0
2022/12/22 19:12:00,83.223,0.675,0
2022/12/22 19:12:01,83.21601,0.468,0
2022/12/22 19:12:03,82.704,0.363,0
2022/12/22 19:12:04,84.164,0.568,0
2022/12/22 19:12:05,82.875,1.029,0
